id,claim,source_url,source_date,confidence,status,script_safe_wording
A1,"Tokens are the smallest units a language model works with; they can be words, parts of words, characters or bytes. For Claude a token is roughly 3.5 English characters.",https://platform.claude.com/docs/en/about-claude/glossary,undated (accessed 2026-09-04),high,safe,"Before the model sees your question, the text is cut into tokens: words, pieces of words, sometimes single characters."
A2,"Autoregressive language models are pretrained to predict the next word given the previous text; fine-tuning and RLHF then make them useful assistants.",https://platform.claude.com/docs/en/about-claude/glossary,undated (accessed 2026-09-04),high,safe,"At its core the model was trained to do one thing: predict the next word from the words before it."
A3,"The context window is all the text the model can reference when generating a response, including the response itself; it is separate from the training data and acts as working memory.",https://platform.claude.com/docs/en/build-with-claude/context-windows,undated (accessed 2026-09-04),high,safe,"The context window is the model's working memory: everything it can look at while writing the answer."
A4,"Each turn's input contains all previous conversation history plus the current message; previous turns are preserved by being resent, not remembered.",https://platform.claude.com/docs/en/build-with-claude/context-windows,undated (accessed 2026-09-04),high,safe,"Every time you send a message, the whole conversation is sent again. If something is not in that request, the model does not know it."
A5,"As token count in the context grows, accuracy and recall degrade (context rot); more context is not automatically better.",https://platform.claude.com/docs/en/build-with-claude/context-windows,undated (accessed 2026-09-04),high,safe,"More context is not always better. Give the model what matters, not everything."
A6,"Temperature controls randomness in word choice; even at temperature 0 outputs are not fully deterministic.",https://platform.claude.com/docs/en/about-claude/glossary,undated (accessed 2026-09-04),high,safe,"A setting called temperature controls how adventurous the word choices are. Even at zero, the same question can get slightly different answers."
A7,"Hallucinations are plausible yet incorrect statements; they arise from statistical pressure in pretraining and from training and evaluation that reward guessing over admitting uncertainty (Kalai, Nachum, Vempala, Zhang, OpenAI).",https://arxiv.org/abs/2509.04664,2025-09-04,high,safe,"Researchers at OpenAI showed that models are trained and tested in ways that reward a confident guess over saying 'I don't know'. That is why a wrong answer can sound so sure."
A8,"The model never executes anything on its own; with tools it emits a structured request, the application runs the operation, and the result flows back into the conversation.",https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works,undated (accessed 2026-09-04),high,safe,"On its own the model cannot check anything. With a tool, it asks, your software does the work, and the result goes back into its context."
A9,"RAG passes documents retrieved from an external knowledge base into the context window at answer time; its effectiveness depends on the quality and relevance of that knowledge base.",https://platform.claude.com/docs/en/about-claude/glossary,undated (accessed 2026-09-04),high,safe,"Retrieval means fetching the right page from a checked knowledge base and putting it in front of the model before it answers. The answer is only as good as that base."
A10,"The 2020 RAG paper (Lewis et al.) combined parametric and non-parametric memory and named provenance and updating world knowledge as open problems.",https://arxiv.org/abs/2005.11401,2020-05-22 (v4 2021-04-12),high,safe,"The idea of giving a model an outside library to read from was published in 2020, and showing where an answer comes from was named an open problem from the start."
A11,"Cross-chat memory in Claude is a product feature: on by default for Free, Pro and Max, off by default on Team and Enterprise, and disabled in incognito chats.",https://support.claude.com/en/articles/11817273-use-claude-s-chat-search-and-memory-to-build-on-previous-context,updated 2026-09 (accessed 2026-09-04),medium,recheck,"When a chatbot seems to remember you, that is a feature the product added on top: it saves notes and puts them back into the context. The model itself remembers nothing between requests."
A12,"OpenAI help article on tokens (rule of thumb about tokens per word).",https://help.openai.com/en/articles/4936856-what-are-tokens-and-how-do-i-count-them,unknown,low,blocked,"Do not cite: page returned 403 and was not opened. A1 covers the point."
B1,"Cameroon is one of the world's largest cocoa producers; ICCO forecast about 320 thousand tonnes for 2024/25.",https://www.icco.org/wp-content/uploads/Production_QBCS-LI-No.-1.pdf,2025-02-28,medium,recheck,"Cameroon is one of the world's largest cocoa producers. (Do not state a tonnage until the ICCO table is re-read.)"
B2,"ONCC lists the South-West and Centre as the heavy cocoa production zones, followed by South, Littoral and East; North-West and West are mild producers.",https://www.oncc.cm/cocoa-production-zones,undated (accessed 2026-09-04),high,safe,"Cocoa grows mainly in the South-West and Centre regions, with more in the South, Littoral and East."
B3,"ONCC states the South-West has dominated national production at around 40 per cent (page also lists 43.40 per cent, undated); SWACU's president said over 30 per cent in December 2025.",https://www.oncc.cm/cocoa-production-zones,undated (accessed 2026-09-04),medium,recheck,"The South-West is one of Cameroon's two biggest cocoa regions. (No percentage in script.)"
B4,"Muyuka, Mbonge and Kumba are major cocoa-producing hubs of the South-West; ONCC has a branch office in Kumba.",https://www.trtafrika.com/english/article/1395a6411a10,2025-09-16,high,safe,"Around Kumba, Muyuka and Mbonge, cocoa is the main crop."
B5,"Cooperatives in OHADA states including Cameroon are governed by the Uniform Act on Cooperative Societies (adopted 15 Dec 2010, in force 15 May 2011) with two forms: SCOOPS and COOP-CA.",https://www.ohada.org/en/cooperative-societies-law/,2011-05-15,high,safe,"Cameroonian cooperatives are registered under a regional law, OHADA, which is why many carry names like 'Cooperative Society' or COOP-CA."
B6,"Real South-West cocoa cooperatives exist: BAFIACOOP (325 members, 2017, SNV) and SWACU, created 2023, four cooperative unions, reported nearly 30,000 farmers, operating a Kumba processing mill.",https://panafricanvisions.com/2025/12/cameroon-new-cocoa-processing-mill-promises-value-addition-and-higher-farmer-revenues/,2025-12-27,medium,safe,"Cocoa cooperatives in the South-West range from a few hundred members to unions covering tens of thousands of farmers. (Our cooperative is fictional.)"
B7,"The South-West cocoa chain runs from farmers to local buyers or CIGs to Licensed Buying Agents to exporters; Kumba is the base for many LBAs and IRAD Barombi Kang.","https://agritrop.cirad.fr/596797/1/Lenou,%20Math%C3%A9%20et%20al%202020.pdf",2020,low,recheck,"Farmers usually sell through local buyers and licensed buying agents. (Confirm from the CIRAD paper before use.)"
B8,"In a 2021 survey of 120 cocoa farmers in Meme, Manyu, Koupé-Manengouba and Fako, 91.7 per cent lacked access to extension services, 68.3 per cent were not in a producer association, and fungicide against black pod was the second-largest cost.",https://academicjournals.org/journal/AJAR/article-full-text/0B4A8F967230,2021,medium,safe,"In one 2021 survey of South-West cocoa farmers, more than nine in ten said they had no access to extension services."
